t_sec,P,TAVG,LVPZ,LVCR,PWNT,PRB,CNH2,RM1,DWB,DTHY
0.0,155.50001525878906,310.0,62.0,7.924896240234375,100.0,1.034000039100647,0.0,0.0010999999940395,1.691944635240361e-05,0.0001689466880634
10.0,155.46820068359375,309.9801025390625,61.94411087036133,7.924896240234375,100.35284423828124,1.034000039100647,0.0,0.0010999999940395,1.691944635240361e-05,0.0001689466880634
20.0,155.46742248535156,309.9776611328125,61.94610595703125,7.924896240234375,100.33609771728516,1.034000039100647,0.0,0.0010999999940395,1.691944635240361e-05,0.0001689466880634
30.0,155.47186279296875,309.980224609375,61.95050048828125,7.924896240234375,100.31201171875,1.034000039100647,0.0,0.0010999999940395,1.691944635240361e-05,0.0001689466880634
40.0,155.4710693359375,309.9779357910156,61.9473876953125,7.924896240234375,100.34684753417967,1.034000039100647,0.0,0.0010999999940395,1.691944635240361e-05,0.0001689466880634
50.0,155.4747314453125,309.97900390625,61.951995849609375,7.924896240234375,100.3251724243164,1.034000039100647,0.0,0.0010999999940395,1.691944635240361e-05,0.0001689466880634
60.0,155.47608947753906,309.978515625,61.95233917236328,7.924896240234375,100.33806610107422,1.034000039100647,0.0,0.0010999999940395,1.691944635240361e-05,0.0001689466880634
70.0,155.4783172607422,309.9786071777344,61.954734802246094,7.924896240234375,100.33252716064452,1.034000039100647,0.0,0.0010999999940395,1.691944635240361e-05,0.0001689466880634
80.0,155.48020935058594,309.97869873046875,61.95647048950195,7.924896240234375,100.33285522460938,1.034000039100647,0.0,0.0010999999940395,1.691944635240361e-05,0.0001689466880634
90.0,155.48184204101562,309.97869873046875,61.958003997802734,7.924896240234375,100.3325653076172,1.034000039100647,0.0,0.0010999999940395,1.691944635240361e-05,0.0001689466880634
100.0,155.48353576660156,309.97869873046875,61.959468841552734,7.924896240234375,100.3326416015625,1.034000039100647,0.0,0.0010999999940395,1.691944635240361e-05,0.0001689466880634
110.0,155.40162658691406,309.97613525390625,61.83761978149414,7.924896240234375,100.36559295654295,1.0346399545669556,0.0,0.0014449391746893,1.8847804312827066e-05,0.0001715378457447
120.0,155.18251037597656,309.9740905761719,61.46354675292969,7.924896240234375,100.41111755371094,1.0360883474349976,0.0,0.0021709813736379,2.290718475705944e-05,0.0001775149867171
130.0,154.98023986816406,309.9728698730469,61.10014343261719,7.924896240234375,100.41985321044922,1.037534475326538,0.0,0.0028960825875401,2.69614283752162e-05,0.0001834799477364
140.0,154.79608154296875,309.9722595214844,60.75236892700195,7.924896240234375,100.4334487915039,1.0389783382415771,0.0,0.0036203158088028,3.101085894741118e-05,0.0001894330634968
150.0,154.62762451171875,309.9710388183594,60.41834259033203,7.924896240234375,100.45166015625,1.0404200553894043,0.0,0.004343750886619,3.505588028929196e-05,0.0001953749160747
160.0,154.47540283203125,309.9703674316406,60.09961318969727,7.924896240234375,100.46248626708984,1.041859745979309,0.0,0.0050664558075368,3.909685619873926e-05,0.0002013061020988
170.0,154.33656311035156,309.969482421875,59.79351425170898,7.924896240234375,100.47657775878906,1.043297290802002,0.0,0.0057884915731847,4.313413592171855e-05,0.0002072271017823
180.0,154.20657348632812,309.9686279296875,59.50070190429688,7.924896240234375,100.48951721191406,1.044684886932373,0.0,0.0065099070779979,4.716829062090255e-05,0.0002131389774149
190.0,154.0843505859375,309.9679260253906,59.22090530395508,7.924896240234375,100.5000457763672,1.045879364013672,0.0,0.0072306618094444,5.1198490837123245e-05,0.0002190400846302
200.0,153.99465942382812,309.9676513671875,58.95306015014648,7.924896240234375,100.50804901123048,1.0470725297927856,0.0,0.0079507706686854,5.5225104006240144e-05,0.0002249312237836
210.0,153.99378967285156,309.9671936035156,58.68521499633789,7.924896240234375,100.51007080078124,1.0482641458511353,0.0,0.0086705340072512,5.924982906435616e-05,0.0002308148687006
220.0,153.99737548828125,309.9664001464844,58.42496871948242,7.924896240234375,100.52484893798828,1.0494545698165894,0.0,0.0093900943174958,6.327344453893602e-05,0.000236692285398
230.0,154.00064086914062,309.9657287597656,58.1784553527832,7.924896240234375,100.53453826904295,1.0506436824798584,0.0,0.0101094599813222,6.729598680976778e-05,0.0002425633720122
